"Reference","Study_common_taxon","Site_name","Sampling_effort","Longitude","Latitude","Species","Measurement","Effort_corrected_measurement"
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"rimosus",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",3,3
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",3,3
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",1,1
